"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.097182840E-1,7.548750192E-2,-1.766874939E-1,-1.403875053E-1
2.122209740E-1,6.916250288E-2,-1.735250056E-1,-1.383250058E-1
2.147235150E-1,6.379999965E-2,-1.724250019E-1,-1.329624951E-1
2.172262050E-1,5.843750015E-2,-1.724250019E-1,-1.287000030E-1
2.197287030E-1,4.895000160E-2,-1.746249944E-1,-1.244374961E-1
2.222314700E-1,4.358749837E-2,-1.735250056E-1,-1.244374961E-1
2.247339330E-1,4.138749838E-2,-1.766874939E-1,-1.212750003E-1
2.272364720E-1,3.506249934E-2,-1.820500046E-1,-1.212750003E-1
2.297389280E-1,3.189999983E-2,-1.916749924E-1,-1.212750003E-1
2.322416960E-1,2.447500080E-2,-2.001999915E-1,-1.190750003E-1
2.347441590E-1,1.911249943E-2,-2.065249979E-1,-1.190750003E-1
2.372468490E-1,1.168750040E-2,-2.182125002E-1,-1.190750003E-1
2.397493800E-1,6.324999966E-3,-2.204124928E-1,-1.181124970E-1
2.422520700E-1,9.624999948E-4,-2.213750035E-1,-1.159124970E-1
2.447546110E-1,-3.299999982E-3,-2.193125039E-1,-1.064250022E-1
2.472570720E-1,-6.462499965E-3,-2.161500007E-1,-1.031249985E-1
2.497597830E-1,-4.262499977E-3,-2.150499970E-1,-9.996250272E-2
2.522623230E-1,-5.362499971E-3,-2.150499970E-1,-9.459999949E-2
2.547650130E-1,-4.262499977E-3,-2.118874937E-1,-9.363749623E-2
2.572674770E-1,-1.099999994E-3,-2.076250017E-1,-9.143749624E-2
2.597700270E-1,-0.000000000E0,-2.022625059E-1,-9.790000319E-2
2.622727200E-1,2.062499989E-3,-1.979999989E-1,-1.021625027E-1
2.647752600E-1,9.624999948E-4,-1.905750036E-1,-1.084875017E-1
2.672779500E-1,-2.199999988E-3,-1.809500009E-1,-1.138499975E-1
2.697804140E-1,-4.262499977E-3,-1.735250056E-1,-1.159124970E-1
2.722829510E-1,-6.462499965E-3,-1.660999954E-1,-1.190750003E-1
2.747856430E-1,-1.278750040E-2,-1.564749926E-1,-1.223749965E-1
2.772881830E-1,-2.021249942E-2,-1.555124968E-1,-1.190750003E-1
2.797906450E-1,-2.021249942E-2,-1.586750001E-1,-1.212750003E-1
2.822933250E-1,-2.667500079E-2,-1.618375033E-1,-1.266375035E-1
2.847958660E-1,-2.777500078E-2,-1.735250056E-1,-1.275999993E-1
2.872985560E-1,-3.203750029E-2,-1.863124967E-1,-1.318625063E-1
2.898010960E-1,-3.836249933E-2,-2.022625059E-1,-1.372250021E-1
2.923035440E-1,-4.468749836E-2,-2.172500044E-1,-1.414874941E-1
2.948062340E-1,-5.431250110E-2,-2.374625057E-1,-1.457500011E-1
2.973087750E-1,-6.077500060E-2,-2.576749921E-1,-1.468500048E-1
2.998114650E-1,-6.916250288E-2,-2.714250088E-1,-1.478125006E-1
3.023140050E-1,-7.562500238E-2,-2.788499892E-1,-1.446499974E-1
3.048165050E-1,-8.621250093E-2,-2.884750068E-1,-1.414874941E-1
3.073191950E-1,-9.693749994E-2,-2.895750105E-1,-1.361249983E-1
3.098217360E-1,-1.043625027E-1,-2.821500003E-1,-1.297999918E-1
3.123244260E-1,-1.106875017E-1,-2.756874859E-1,-1.244374961E-1
3.148269190E-1,-1.192125008E-1,-2.628999949E-1,-1.159124970E-1
3.173293800E-1,-1.245749965E-1,-2.501125038E-1,-1.095874980E-1
3.198320700E-1,-1.319999993E-1,-2.341624945E-1,-1.042250022E-1
3.223346110E-1,-1.373624951E-1,-2.118874937E-1,-9.679999948E-2
3.248373010E-1,-1.458874941E-1,-1.916749924E-1,-9.363749623E-2
3.273397700E-1,-1.544124931E-1,-1.714625061E-1,-9.143749624E-2
3.298423060E-1,-1.607374996E-1,-1.544124931E-1,-9.033749998E-2
3.323449990E-1,-1.670625061E-1,-1.395625025E-1,-8.607500046E-2
3.348475390E-1,-1.713249981E-1,-1.214125007E-1,-7.768750191E-2
3.373500060E-1,-1.831499934E-1,-1.075249985E-1,-6.586249918E-2
3.398526960E-1,-1.894749999E-1,-9.583749622E-2,-6.270000339E-2
3.423552360E-1,-1.991000026E-1,-8.304999769E-2,-5.321250111E-2
3.448579270E-1,-2.085874975E-1,-7.136250287E-2,-4.675000161E-2
3.473604720E-1,-2.161500007E-1,-6.283749640E-2,-4.248749837E-2
3.498629340E-1,-2.213750035E-1,-5.115000159E-2,-3.189999983E-2
3.523657010E-1,-2.235749960E-1,-4.482499883E-2,-2.763750032E-2
3.548681640E-1,-2.278375030E-1,-3.093750030E-2,-2.447500080E-2
3.573708310E-1,-2.341624945E-1,-1.498750038E-2,-1.691249944E-2
3.598732940E-1,-2.406249940E-1,9.624999948E-4,-1.058750041E-2
3.623758310E-1,-2.437874973E-1,2.117500082E-2,-6.324999966E-3
3.648785230E-1,-2.469500005E-1,3.712499887E-2,1.099999994E-3
