"event","experiment time","system time","system time text"
"START",0.000000000E0,1733591930.760,"2024-12-07 22:48:50.760 UTC+05:30"
"PAUSE",1.416528163E2,1733592072.413,"2024-12-07 22:51:12.413 UTC+05:30"
