"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.838397462E0,1.657500076E1,-2.831250191E0,-3.729375076E1
1.858394139E0,1.721250153E1,-3.918750048E0,-3.658125305E1
1.878398406E0,1.730625153E1,-4.181250095E0,-3.616875076E1
1.898398014E0,1.751250076E1,-6.468750477E0,-3.534375000E1
1.918392269E0,1.781250000E1,-6.656250477E0,-3.573750305E1
1.938396275E0,1.683750153E1,-6.768750191E0,-3.562500000E1
1.958394884E0,1.558125019E1,-6.525000095E0,-3.613125229E1
1.978389957E0,1.406250095E1,-5.925000191E0,-3.686250305E1
1.998393424E0,1.166250038E1,-4.518750191E0,-3.729375076E1
2.018391016E0,1.008750057E1,-4.631250381E0,-3.678750229E1
2.038397604E0,9.393750191E0,-5.381250381E0,-3.738750076E1
2.058398650E0,9.562500000E0,-5.925000191E0,-3.697500229E1
2.078395191E0,8.925000191E0,-7.706250191E0,-3.663750076E1
2.098399972E0,8.343750000E0,-8.175000191E0,-3.684375000E1
2.118398193E0,7.687500477E0,-8.006250381E0,-3.795000076E1
2.138393738E0,6.187500477E0,-8.418750763E0,-3.714375305E1
2.158397729E0,3.768750191E0,-8.568750381E0,-3.744375229E1
2.178396365E0,1.500000000E0,-8.887500763E0,-3.714375305E1
2.198391516E0,-8.250000477E-1,-8.212500572E0,-3.706875229E1
2.218394039E0,-8.437500596E-1,-5.531250000E0,-3.740625000E1
2.238392602E0,-1.237500072E0,-5.268750191E0,-3.699375153E1
2.258387777E0,-1.687500119E0,-6.093750477E0,-3.517500305E1
2.278391045E0,-2.156250000E0,-6.393750191E0,-3.588750076E1
2.298389929E0,-3.375000238E0,-5.512500286E0,-3.690000153E1
2.318395366E0,-5.362500191E0,-5.362500191E0,-3.549375153E1
2.338396997E0,-7.068750381E0,-3.487500191E0,-3.603750229E1
2.358393879E0,-7.612500191E0,-3.037500143E0,-3.643125153E1
2.378398474E0,-9.487500191E0,-2.437500000E0,-3.575625229E1
2.398398025E0,-1.003125000E1,-1.143750072E0,-3.547500229E1
2.418392384E0,-1.111875057E1,1.106250048E0,-3.641250229E1
2.438396082E0,-1.140000057E1,2.025000095E0,-3.592500305E1
2.458395251E0,-1.228125095E1,2.925000191E0,-3.453750229E1
2.478390249E0,-1.295625019E1,3.825000048E0,-3.474375153E1
2.498393828E0,-1.338750076E1,4.387500286E0,-3.243750000E1
2.518391612E0,-1.290000057E1,6.131250381E0,-3.418125153E1
2.538398160E0,-1.250625038E1,6.412500381E0,-3.408750153E1
2.558398228E0,-1.252500057E1,5.418750286E0,-3.406875229E1
2.578394977E0,-1.123125076E1,5.156250000E0,-3.526875305E1
2.598399685E0,-1.036875057E1,4.612500191E0,-3.616875076E1
2.618398281E0,-9.206250191E0,4.012500286E0,-3.615000153E1
2.638393926E0,-5.925000191E0,4.537500381E0,-3.806250000E1
2.658397794E0,-6.431250095E0,3.412500143E0,-3.834375000E1
2.678396262E0,-5.925000191E0,5.456250191E0,-3.727500153E1
2.698391243E0,-6.618750095E0,5.812500000E0,-3.667500305E1
2.718393658E0,-5.550000191E0,8.137500763E0,-3.761250305E1
2.738392790E0,-4.162500381E0,8.062500000E0,-3.841875076E1
2.758388095E0,-2.793750048E0,8.756250381E0,-3.781875229E1
2.778391572E0,-2.006250143E0,9.693750381E0,-3.753750229E1
2.798390617E0,-1.575000048E0,1.089375019E1,-3.785625076E1
2.818384664E0,-9.750000238E-1,1.164375019E1,-3.735000229E1
2.838388235E0,-1.331250072E0,1.218750095E1,-3.796875000E1
2.858387411E0,-1.875000119E0,1.126875019E1,-3.684375000E1
2.878393990E0,-7.875000238E-1,1.110000038E1,-3.753750229E1
2.898394837E0,-1.068750024E0,1.035000038E1,-3.903750229E1
2.918390678E0,-1.387500048E0,9.337500572E0,-3.933750153E1
2.938395569E0,-3.487500191E0,7.537500381E0,-3.901875305E1
