"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.395214130E-1,1.238155365E-1,-1.634137630E-1,9.592247009E-2
2.420238100E-1,5.857038498E-2,-1.889698505E-1,3.567695618E-3
2.445263460E-1,-3.712511063E-2,-2.429790497E-1,-5.444526672E-2
2.470288100E-1,6.512665749E-2,-2.785689831E-1,-1.709232330E-1
2.495312580E-1,4.107761383E-2,-3.057026863E-1,-2.631826401E-1
2.520337190E-1,-3.721666336E-2,-3.615748882E-1,-3.281793594E-1
2.545361810E-1,-6.161212921E-2,-3.997914791E-1,-3.066654205E-1
2.570386420E-1,-8.392858505E-2,-4.384436607E-1,-3.028087616E-1
2.595411030E-1,4.789686203E-2,-3.611018658E-1,-4.332447052E-1
2.620435590E-1,1.203236580E-1,-3.943362236E-1,-6.457538605E-1
2.645460200E-1,6.309604645E-2,-4.625253677E-1,-6.966719627E-1
2.670484810E-1,8.004617691E-2,-5.606253147E-1,-7.107715607E-1
2.695508680E-1,1.586732864E-1,-7.311232090E-1,-6.272149086E-1
2.720534040E-1,3.386733532E-1,-7.930731773E-1,-6.582646370E-1
2.745558680E-1,5.776233673E-1,-8.340232372E-1,-7.133145332E-1
2.770583300E-1,6.907234192E-1,-9.111232758E-1,-7.562146187E-1
2.795607140E-1,4.726233482E-1,-1.033073187E0,-6.342644691E-1
2.820631740E-1,1.636233330E-1,-1.076123238E0,-4.442148209E-1
2.845656350E-1,1.207876205E-1,-1.028860211E0,-3.323020935E-1
2.870681020E-1,7.312965393E-2,-9.828641415E-1,-2.534837723E-1
2.895705630E-1,5.247783661E-2,-9.453325272E-1,-2.448568344E-1
2.920730390E-1,1.861572266E-1,-9.155635834E-1,-2.075233459E-1
2.945755000E-1,2.229571342E-1,-8.540872335E-1,-1.658239365E-1
2.970779620E-1,1.678347588E-1,-9.157478809E-1,-8.205986023E-2
2.995804530E-1,2.271494865E-1,-9.481678009E-1,2.476978302E-2
3.020829150E-1,1.811752319E-1,-9.335563183E-1,9.052181244E-2
3.045853770E-1,1.298680305E-1,-9.437000751E-1,1.541547775E-1
3.070878390E-1,1.868448257E-1,-9.119901657E-1,2.749938965E-1
3.095903010E-1,3.447947502E-1,-8.858901262E-1,2.940444946E-1
3.120927620E-1,3.708946705E-1,-8.909901381E-1,2.340440750E-1
3.145952230E-1,3.498947620E-1,-9.338901043E-1,1.980447769E-1
3.170976840E-1,3.327946663E-1,-9.548901320E-1,1.089439392E-1
3.196001450E-1,3.447947502E-1,-1.053890109E0,-1.006126404E-3
3.221026060E-1,4.647946358E-1,-1.084940195E0,-2.039556503E-1
3.246050680E-1,5.478947163E-1,-1.122890115E0,-3.410558701E-1
3.271076060E-1,5.709552765E-1,-1.139894962E0,-4.481482506E-1
3.296099930E-1,5.924160480E-1,-1.203774452E0,-5.189371109E-1
3.321124580E-1,6.970922947E-1,-1.217172861E0,-5.978817940E-1
3.346149190E-1,7.381231785E-1,-1.252280951E0,-5.926885605E-1
3.371173810E-1,8.104407787E-1,-1.276663780E0,-6.185030937E-1
3.396198130E-1,7.820904255E-1,-1.264734864E0,-6.412291527E-1
3.421222650E-1,7.302153111E-1,-1.277108312E0,-6.479148865E-1
3.446248030E-1,5.836977959E-1,-1.269018769E0,-6.735591888E-1
3.471271900E-1,4.918701649E-1,-1.216728806E0,-6.023426056E-1
3.496297260E-1,5.977456570E-1,-1.155560851E0,-5.978302956E-1
3.521321180E-1,5.634560585E-1,-1.048387289E0,-6.667222977E-1
3.546346540E-1,3.903560638E-1,-1.029337287E0,-5.417723656E-1
3.571370410E-1,2.798929214E-1,-9.784967899E-1,-3.244609833E-1
3.596395110E-1,2.742433548E-2,-8.750902414E-1,5.980300903E-2
3.621419720E-1,6.151199341E-3,-7.514562607E-1,3.972702026E-1
3.646444340E-1,8.217048645E-2,-6.352661848E-1,5.503187180E-1
3.671468950E-1,4.917049408E-2,-5.872660875E-1,5.453691483E-1
3.696493570E-1,-2.282953262E-2,-5.823161602E-1,5.483684540E-1
3.721518190E-1,7.317018509E-2,-6.183161736E-1,5.074186325E-1
3.746542810E-1,1.091704369E-1,-6.663161516E-1,5.003690720E-1
3.771567430E-1,9.912014008E-2,-7.173161507E-1,5.524187088E-1
3.796592050E-1,1.610703468E-1,-7.843661308E-1,5.173187256E-1
3.821616670E-1,2.810702324E-1,-8.773661852E-1,4.024190903E-1
3.846641320E-1,4.380087852E-1,-1.038698554E0,4.203281403E-1
3.871665930E-1,6.286165714E-1,-1.295195222E0,4.272603989E-1
3.896690400E-1,6.757225990E-1,-1.597923756E0,4.376592636E-1
3.921715010E-1,7.287979126E-1,-1.895799398E0,4.385757446E-1
3.946739620E-1,7.939884663E-1,-2.266377687E0,5.703697205E-1
3.971764480E-1,7.586758137E-1,-2.644500971E0,9.897680283E-1
3.996789100E-1,6.384024620E-1,-2.965409994E0,1.064663887E0
4.021813820E-1,5.524196625E-1,-3.004564762E0,7.949790955E-1
4.046838440E-1,5.634984970E-1,-2.686187983E0,5.787782669E-1
4.071863060E-1,5.520451069E-1,-2.301834822E0,2.874660492E-1
4.096887810E-1,5.524892807E-1,-1.898467898E0,-7.858848572E-2
4.121912420E-1,5.254893303E-1,-1.505467892E0,-3.325386047E-1
4.146937030E-1,5.545892715E-1,-1.277467847E0,-8.015890121E-1
4.171961640E-1,6.955893040E-1,-1.150567889E0,-1.106538773E0
4.196986260E-1,6.835892200E-1,-1.014517784E0,-1.022538662E0
4.222010880E-1,7.245392799E-1,-1.007467866E0,-8.926386833E-1
4.247035500E-1,8.494892120E-1,-1.179517865E0,-5.455389023E-1
4.272060120E-1,9.424893856E-1,-1.263517857E0,-2.125387192E-1
4.297084740E-1,1.032252073E0,-1.424739718E0,-4.761791229E-2
4.322109350E-1,1.097218513E0,-1.560666561E0,3.167762756E-1
4.347134060E-1,1.152832747E0,-1.694306374E0,6.726760864E-1
4.372158670E-1,1.177093506E0,-1.738055348E0,8.156404495E-1
4.397183280E-1,1.186020851E0,-1.813045740E0,9.853267670E-1
4.422207900E-1,1.172794342E0,-1.852368593E0,1.013908386E0
4.447232520E-1,1.785094261E0,-1.961177826E0,8.499889374E-1
4.472257180E-1,2.363129616E0,-2.154382706E0,7.397794724E-1
4.497281800E-1,1.964018822E0,-2.652688742E0,9.008092880E-1
4.522306420E-1,1.995069027E0,-3.452638865E0,1.271908760E0
4.547331030E-1,1.310019016E0,-2.585638762E0,1.523909569E0
4.572355640E-1,9.240689278E-1,-1.429588795E0,1.267859459E0
4.597380250E-1,6.906890869E-2,-3.756886721E-1,1.425808907E0
4.622404860E-1,-4.070310593E-1,9.636139870E-2,1.463909149E0
4.647429470E-1,3.306865692E-2,3.336143494E-2,1.113809586E0
4.672454090E-1,6.800189018E-1,-4.455887079E-1,4.728593826E-1
4.697478710E-1,1.494994164E0,-1.119903088E0,-3.015971184E-1
4.722503190E-1,2.100532293E0,-1.555327177E0,-1.229015827E0
4.747527810E-1,2.322685480E0,-1.707430363E0,-1.630245686E0
4.772552430E-1,2.174106836E0,-1.534928560E0,-1.694348335E0
4.797576910E-1,2.533827782E0,-1.248261094E0,-1.432694435E0
4.822601520E-1,3.681548595E0,-1.286036730E0,-1.121679306E0
4.847626030E-1,4.672874928E0,-1.686535120E0,-1.478839874E0
4.872650640E-1,5.483174324E0,-5.461976528E-1,-1.426326275E0
4.897675060E-1,5.153998852E0,1.043684483E-1,-1.718285561E0
4.922699670E-1,3.502881050E0,3.296079636E-1,-2.236154079E0
4.947722000E-1,2.721981049E0,4.536578655E-1,-2.925104141E0
4.972748910E-1,2.041881084E0,3.746078014E-1,-3.663104534E0
4.997771230E-1,1.900881052E0,4.865789413E-2,-4.413104057E0
5.022798140E-1,1.869981050E0,-3.173422813E-1,-5.208104134E0
5.047822770E-1,1.842981100E0,-7.002921104E-1,-5.919104576E0
5.072847390E-1,1.687880993E0,-1.091342211E0,-6.216104507E0
5.097872000E-1,1.600880861E0,-1.366292238E0,-7.212104797E0
5.122896620E-1,1.847908735E0,-1.424715877E0,-9.029650688E0
5.147921320E-1,2.338934422E0,-1.513702750E0,-9.393489838E0
5.172945940E-1,2.587477446E0,-1.713669538E0,-9.515203476E0
5.197970550E-1,2.853213310E0,-1.804490089E0,-9.579137802E0
5.222995310E-1,3.272419453E0,-2.067171097E0,-9.822653770E0
5.248019920E-1,4.169471264E0,-3.202651024E0,-1.080959129E1
5.273044530E-1,4.044796944E0,-3.433883429E0,-1.122445965E1
5.298068900E-1,3.640037060E0,-3.392096519E0,-1.023244667E1
5.323093520E-1,3.588047981E0,-3.680318356E0,-9.502819061E0
5.348118140E-1,3.320129871E0,-3.775860310E0,-8.948092461E0
5.373142760E-1,3.269535065E0,-3.902260780E0,-8.757748604E0
5.398167480E-1,3.324867725E0,-4.102241993E0,-8.688443184E0
5.423192090E-1,3.293817520E0,-4.284192085E0,-8.585392952E0
5.448216700E-1,3.288867712E0,-4.584192276E0,-8.475442886E0
