"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.445263460E-1,-1.284250021E-1,1.419962525E0,1.664437532E0
2.470288100E-1,-1.454750001E-1,1.358224988E0,1.669800043E0
2.495312580E-1,-1.636250019E-1,1.293324947E0,1.671862483E0
2.520337190E-1,-1.838375032E-1,1.239012480E0,1.665537477E0
2.545361810E-1,-2.083124965E-1,1.195425034E0,1.660174966E0
2.570386420E-1,-2.305874974E-1,1.171912551E0,1.655912519E0
2.595411030E-1,-2.496999949E-1,1.161324978E0,1.647387505E0
2.620435590E-1,-2.763749957E-1,1.147437453E0,1.637762547E0
2.645460200E-1,-3.071750104E-1,1.128324986E0,1.626075029E0
2.670484810E-1,-3.412750065E-1,1.108112454E0,1.614387512E0
2.695508680E-1,-3.711124957E-1,1.086799979E0,1.603799939E0
2.720534040E-1,-4.041124880E-1,1.072912455E0,1.589912534E0
2.745558680E-1,-4.423374832E-1,1.059162498E0,1.575062513E0
2.770583300E-1,-4.786374867E-1,1.042112470E0,1.553750038E0
2.795607140E-1,-5.179625154E-1,1.030424953E0,1.533537507E0
2.820631740E-1,-5.467000008E-1,1.027262449E0,1.514425039E0
2.845656400E-1,-5.722749829E-1,1.035787463E0,1.503700018E0
2.870681020E-1,-5.967500210E-1,1.033587456E0,1.498474956E0
2.895705630E-1,-6.201249957E-1,1.018737435E0,1.496274948E0
2.920730390E-1,-6.456999779E-1,9.825749993E-1,1.493112445E0
2.945755000E-1,-6.701750159E-1,9.303249717E-1,1.486649990E0
2.970779910E-1,-6.946499944E-1,8.685874939E-1,1.476062536E0
2.995804530E-1,-7.169250250E-1,8.016250134E-1,1.463274956E0
3.020829150E-1,-7.328749895E-1,7.345250249E-1,1.448424935E0
3.045853770E-1,-7.478625178E-1,6.653624773E-1,1.430274963E0
3.070878390E-1,-7.584499717E-1,6.026625037E-1,1.411162496E0
3.095903010E-1,-7.616124749E-1,5.472499728E-1,1.384487510E0
3.120927620E-1,-7.627124786E-1,4.929375052E-1,1.355749965E0
3.145952230E-1,-7.647749782E-1,4.450874925E-1,1.319587469E0
3.170976840E-1,-7.616124749E-1,4.024625123E-1,1.283424973E0
3.196001450E-1,-7.573499680E-1,3.727625012E-1,1.246162534E0
3.221026060E-1,-7.510250211E-1,3.525500000E-1,1.201475024E0
3.246050680E-1,-7.510250211E-1,3.366000056E-1,1.152524948E0
3.271076060E-1,-7.521250248E-1,3.258749843E-1,1.105774999E0
3.296099930E-1,-7.530875206E-1,3.184500039E-1,1.058887482E0
3.321124580E-1,-7.478625178E-1,3.152875006E-1,1.005674958E0
3.346149190E-1,-7.488250136E-1,3.195500076E-1,9.556249976E-1
3.371173520E-1,-7.456625104E-1,3.227125108E-1,9.057124853E-1
3.396198130E-1,-7.456625104E-1,3.195500076E-1,8.545625210E-1
3.421222650E-1,-7.445625067E-1,3.205125034E-1,8.109750152E-1
3.446248030E-1,-7.436000109E-1,3.195500076E-1,7.694500089E-1
3.471271900E-1,-7.382375002E-1,3.290374875E-1,7.332875133E-1
3.496297310E-1,-7.328749895E-1,3.525500000E-1,7.002875209E-1
3.521321180E-1,-7.265499830E-1,3.737249970E-1,6.726499796E-1
3.546346540E-1,-7.148625255E-1,4.003999829E-1,6.470749974E-1
3.571370410E-1,-7.020750046E-1,4.354625046E-1,6.300249696E-1
3.596395110E-1,-6.881874800E-1,4.717625082E-1,6.215000153E-1
3.621419720E-1,-6.626124978E-1,5.110874772E-1,6.257625222E-1
3.646444340E-1,-6.318125129E-1,5.440874696E-1,6.353874803E-1
3.671468950E-1,-5.999125242E-1,5.589374900E-1,6.481750011E-1
3.696493570E-1,-5.689749718E-1,5.674625039E-1,6.661875248E-1
3.721518190E-1,-5.350124836E-1,5.696625113E-1,6.906625032E-1
3.746542810E-1,-5.009124875E-1,5.654000044E-1,7.108749747E-1
3.771567430E-1,-4.690124989E-1,5.578374863E-1,7.258625031E-1
3.796592050E-1,-4.371125102E-1,5.557749867E-1,7.512999773E-1
3.821616670E-1,-4.041124880E-1,5.515124798E-1,7.748125196E-1
3.846641320E-1,-3.700124919E-1,5.472499728E-1,7.950249910E-1
3.871665930E-1,-3.284874856E-1,5.611374974E-1,8.045125008E-1
3.896690400E-1,-2.827000022E-1,5.930374861E-1,7.822374701E-1
3.921715010E-1,-2.305874974E-1,6.388249993E-1,7.279250026E-1
3.946739860E-1,-1.656875014E-1,7.079874873E-1,6.331874728E-1
3.971764480E-1,-8.593750000E-2,7.803124785E-1,4.980250001E-1
3.996789100E-1,-6.049999967E-3,7.706875205E-1,3.448500037E-1
4.021813820E-1,5.678749830E-2,6.579374671E-1,2.149125040E-1
4.046838440E-1,9.927500039E-2,5.036625266E-1,1.181124970E-1
4.071863200E-1,1.354375035E-1,3.716624975E-1,4.784999788E-2
4.096887810E-1,1.758625060E-1,3.110249937E-1,-3.162499983E-3
4.121912420E-1,2.195875049E-1,3.258749843E-1,-5.431250110E-2
4.146937030E-1,2.685374916E-1,3.770250082E-1,-9.996250272E-2
4.171961640E-1,3.121249974E-1,4.589749873E-1,-1.372250021E-1
4.196986260E-1,3.493874967E-1,5.663625002E-1,-1.639000028E-1
4.222010880E-1,3.877499998E-1,6.599999666E-1,-1.776500046E-1
4.247035500E-1,4.239124954E-1,7.441499829E-1,-1.841125041E-1
4.272060120E-1,4.675000012E-1,8.292624950E-1,-1.830125004E-1
4.297084740E-1,5.110874772E-1,8.952624798E-1,-1.766874939E-1
4.322109350E-1,5.537124872E-1,9.442124963E-1,-1.692624986E-1
4.347134060E-1,5.963374972E-1,9.686874747E-1,-1.616999954E-1
4.372158670E-1,6.388249993E-1,9.825749993E-1,-1.564749926E-1
4.397183280E-1,6.835125089E-1,1.001687527E0,-1.531749964E-1
4.422207900E-1,7.282000184E-1,1.031525016E0,-1.500124931E-1
4.447232520E-1,7.728874683E-1,1.069749951E0,-1.489125043E-1
4.472257180E-1,8.112499714E-1,1.093124986E0,-1.553750038E-1
4.497281800E-1,8.496124744E-1,1.099587440E0,-1.733874977E-1
4.522306420E-1,8.985624909E-1,1.127225041E0,-1.968999952E-1
4.547331030E-1,9.697874784E-1,1.126124978E0,-2.139499933E-1
4.572355640E-1,1.066725016E0,1.065487504E0,-2.063875049E-1
4.597380250E-1,1.178375006E0,9.697874784E-1,-1.819124967E-1
4.622404860E-1,1.297587514E0,9.112125039E-1,-1.500124931E-1
4.647429470E-1,1.405112505E0,9.208375216E-1,-1.277374923E-1
4.672454090E-1,1.485962510E0,9.208375216E-1,-1.223749965E-1
4.697478570E-1,1.536975026E0,8.782125115E-1,-1.340624988E-1
4.722503190E-1,1.553062439E0,8.196374774E-1,-1.596374959E-1
4.747527810E-1,1.534912467E0,7.590000033E-1,-1.978625059E-1
4.772552430E-1,1.496549964E0,6.792500019E-1,-2.393874973E-1
4.797576910E-1,1.449800014E0,5.887749791E-1,-2.734875083E-1
4.822601420E-1,1.408275008E0,4.919750094E-1,-3.096500039E-1
4.847626030E-1,1.390125036E0,4.003999829E-1,-3.682250082E-1
4.872650640E-1,1.379537463E0,3.440249860E-1,-4.587000012E-1
4.897675060E-1,1.382699966E0,2.791250050E-1,-5.693874955E-1
4.922699670E-1,1.393424988E0,2.003374994E-1,-6.639875174E-1
4.947722000E-1,1.394387484E0,1.269125044E-1,-7.151374817E-1
4.972748910E-1,1.378437519E0,7.259999961E-2,-7.385125160E-1
4.997771230E-1,1.333750010E0,1.086249948E-2,-7.407125235E-1
5.022798140E-1,1.254962444E0,-6.462500244E-2,-7.396125197E-1
5.047822770E-1,1.141112447E0,-1.391499937E-1,-7.353500128E-1
5.072847390E-1,9.996249676E-1,-1.945624948E-1,-7.257249951E-1
5.097872000E-1,8.388875127E-1,-1.966249943E-1,-7.119749784E-1
5.122896710E-1,6.441875100E-1,-1.880999953E-1,-6.927250028E-1
5.147921320E-1,4.057624936E-1,-2.285249978E-1,-6.715499759E-1
5.172945940E-1,1.504250020E-1,-2.455749959E-1,-6.650875211E-1
5.197970700E-1,-1.028499976E-1,-2.264624983E-1,-6.650875211E-1
