"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.556246520E-1,3.241950035E0,3.462000132E0,8.995050430E0
2.581274220E-1,3.196950197E0,3.502950191E0,8.905950546E0
2.606301910E-1,3.124950171E0,3.513000250E0,8.857950211E0
2.631329800E-1,3.058050156E0,3.510000229E0,8.776950836E0
2.656355210E-1,3.007050037E0,3.532050133E0,8.700000763E0
2.681382880E-1,2.983050108E0,3.517050266E0,8.581050873E0
2.706410570E-1,2.899950027E0,3.508050203E0,8.506050110E0
2.731438260E-1,2.859000206E0,3.534000158E0,8.374950409E0
2.756465960E-1,2.800950050E0,3.520050049E0,8.236050606E0
2.781493650E-1,2.755950212E0,3.501000166E0,8.161050797E0
2.806521340E-1,2.718000174E0,3.522000074E0,8.082000732E0
2.831549030E-1,2.710050106E0,3.466950178E0,8.029950142E0
2.856575980E-1,2.674050093E0,3.448050261E0,7.989000320E0
2.881603360E-1,2.646000147E0,3.426000118E0,7.941000462E0
2.906631050E-1,2.614950180E0,3.364050150E0,7.921950340E0
2.931658880E-1,2.574000120E0,3.349950075E0,7.891050339E0
2.956686580E-1,2.569050074E0,3.321000099E0,7.860000610E0
2.981714270E-1,2.518950224E0,3.307050228E0,7.881000519E0
3.006739860E-1,2.506950140E0,3.297000170E0,7.893000603E0
3.031767530E-1,2.524050236E0,3.253950119E0,7.893000603E0
3.056795230E-1,2.533050060E0,3.208950043E0,7.948050499E0
3.081823130E-1,2.539950132E0,3.175050259E0,7.954950333E0
3.106850820E-1,2.539950132E0,3.177000046E0,7.951050282E0
3.131878510E-1,2.598000050E0,3.180000067E0,7.957950592E0
3.156905460E-1,2.515950203E0,3.280050039E0,7.942950249E0
3.181933130E-1,2.494950056E0,3.241950035E0,7.917000294E0
3.206960820E-1,2.715000153E0,3.133950233E0,7.860000610E0
3.231988510E-1,2.884950161E0,3.060000181E0,7.813950539E0
3.257016210E-1,2.998050213E0,3.012000084E0,7.777950287E0
3.282043900E-1,2.980950117E0,3.012000084E0,7.735050201E0
3.307069300E-1,2.695950031E0,3.070050240E0,7.635000229E0
3.332099320E-1,3.007050037E0,2.880000114E0,7.519950390E0
3.357127040E-1,3.300000191E0,2.749050140E0,7.498050213E0
3.382151940E-1,3.573000193E0,2.703000069E0,7.618050575E0
3.407179610E-1,3.694950104E0,2.610000134E0,7.599000454E0
3.432207310E-1,3.385950089E0,2.746050119E0,7.467000484E0
3.457235050E-1,3.481950283E0,2.650050163E0,7.273050308E0
3.482262740E-1,3.697050095E0,2.542950153E0,7.227000237E0
3.507290430E-1,3.834000111E0,2.574000120E0,7.237050533E0
3.532318130E-1,3.985050201E0,2.575950146E0,7.177050114E0
3.557345070E-1,4.200000286E0,2.515950203E0,7.120050430E0
3.582372740E-1,4.356000423E0,2.421000004E0,7.048050404E0
3.607400430E-1,4.510950089E0,2.409000158E0,6.976050377E0
3.632428130E-1,4.543050289E0,2.362950087E0,6.906000137E0
3.657455820E-1,4.497000217E0,2.394000053E0,6.841950417E0
3.682483510E-1,4.429950237E0,2.346000195E0,6.825000286E0
3.707508910E-1,4.300950050E0,2.320050001E0,6.835050106E0
3.732536640E-1,4.195050240E0,2.274000168E0,6.885000229E0
3.757566640E-1,4.144950390E0,2.253000021E0,6.880050182E0
3.782592040E-1,4.128000259E0,2.239050150E0,6.796050549E0
3.807619370E-1,4.135050297E0,2.245950222E0,6.789000511E0
3.832647070E-1,4.179000378E0,2.239050150E0,6.717000484E0
3.857674760E-1,4.243050098E0,2.254950047E0,6.625950336E0
3.882702500E-1,4.261950016E0,2.302950144E0,6.588000298E0
3.907730190E-1,4.223999977E0,2.362950087E0,6.459000111E0
3.932757140E-1,4.090050220E0,2.410950184E0,6.339000225E0
3.957784810E-1,3.952950239E0,2.470950127E0,6.223950386E0
