"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.356025870E-1,9.009623528E-2,1.842820644E-1,1.722745895E-1
2.381053740E-1,2.995808125E-1,2.640581131E-2,2.512464523E-1
2.406081430E-1,4.454004765E-1,-6.694555283E-2,3.059864044E-1
2.431108830E-1,5.379641056E-1,-9.869122505E-2,2.859096527E-1
2.456136520E-1,5.852563381E-1,-9.276866913E-2,2.730073929E-1
2.481163470E-1,5.333979130E-1,-8.523964882E-2,3.063631058E-1
2.506191290E-1,5.517539978E-1,-9.035563469E-2,3.979721069E-1
2.531218980E-1,4.860687256E-1,-1.178827286E-1,3.389940262E-1
2.556246520E-1,4.640185833E-1,-1.178827286E-1,2.980442047E-1
2.581274220E-1,4.187395573E-1,-7.129764557E-2,2.067155838E-1
2.606301910E-1,3.458113670E-1,-6.078982353E-2,1.588239670E-1
2.631329800E-1,2.745203972E-1,-6.324768066E-2,7.900619507E-2
2.656355210E-1,2.235202789E-1,-4.119777679E-2,2.056121826E-3
2.681382880E-1,1.995203495E-1,-5.619764328E-2,-1.168937683E-1
2.706410570E-1,1.164202690E-1,-6.519770622E-2,-1.918945312E-1
2.731438260E-1,7.547044754E-2,-3.924775124E-2,-3.229942322E-1
2.756465960E-1,1.742029190E-2,-5.319786072E-2,-4.618940353E-1
2.781493650E-1,-4.372119904E-2,-6.460833549E-2,-5.348491669E-1
2.806521340E-1,-8.167123795E-2,-4.360842705E-2,-6.138992310E-1
2.831549030E-1,-9.339499474E-2,-9.811854362E-2,-6.649541855E-1
2.856575980E-1,-1.377549171E-1,-1.153860092E-1,-7.038745880E-1
2.881603360E-1,-1.658816338E-1,-1.376402378E-1,-7.517657280E-1
2.906631050E-1,-2.014188766E-1,-1.984891891E-1,-7.698144913E-1
2.931658880E-1,-2.470042706E-1,-2.112226486E-1,-7.997703552E-1
2.956686580E-1,-2.567837238E-1,-2.385342121E-1,-8.299226761E-1
2.981714270E-1,-3.220412731E-1,-2.457203865E-1,-8.067474365E-1
3.006739860E-1,-3.340413570E-1,-2.557704449E-1,-7.947473526E-1
3.031767530E-1,-3.168706894E-1,-2.988584042E-1,-7.947549820E-1
3.056795230E-1,-3.130846024E-1,-3.409461975E-1,-7.391901016E-1
3.081823130E-1,-3.069040775E-1,-3.741457462E-1,-7.323408127E-1
3.106850820E-1,-3.069040775E-1,-3.721959591E-1,-7.362408638E-1
3.131878510E-1,-2.488541603E-1,-3.691959381E-1,-7.293405533E-1
3.156905460E-1,-3.309040070E-1,-2.691459656E-1,-7.443408966E-1
3.181933130E-1,-3.519041538E-1,-3.072459698E-1,-7.702908516E-1
3.206960820E-1,-1.318540573E-1,-4.152457714E-1,-8.272905350E-1
3.231988510E-1,3.809595108E-2,-4.891958237E-1,-8.733406067E-1
3.257016210E-1,1.511960030E-1,-5.371959209E-1,-9.093408585E-1
3.282043900E-1,7.478713989E-2,-5.002455711E-1,-9.476184845E-1
3.307069300E-1,-2.280223370E-1,-4.312043190E-1,-1.046128273E0
3.332099320E-1,8.261370659E-2,-6.210598946E-1,-1.161100864E0
3.357127040E-1,3.648960590E-1,-7.454633713E-1,-1.182037830E0
3.382151940E-1,6.267297268E-1,-7.843081951E-1,-1.061152458E0
3.407179610E-1,7.374334335E-1,-8.696658611E-1,-1.079444408E0
3.432207310E-1,4.175961018E-1,-7.261345387E-1,-1.210740566E0
3.457235050E-1,5.023872852E-1,-8.144252300E-1,-1.403930664E0
3.482262740E-1,7.052083015E-1,-9.132828712E-1,-1.449042320E0
3.507290430E-1,7.564206123E-1,-8.247199059E-1,-1.431721210E0
3.532318130E-1,9.074707031E-1,-8.227698803E-1,-1.491721630E0
3.557345070E-1,1.122420788E0,-8.827698231E-1,-1.548721313E0
3.582372740E-1,1.278420925E0,-9.777200222E-1,-1.620721340E0
3.607400430E-1,1.433370590E0,-9.897198677E-1,-1.692721367E0
3.632428130E-1,1.465470791E0,-1.035769939E0,-1.762771606E0
3.657455820E-1,1.419420719E0,-1.004719973E0,-1.826821327E0
3.682483510E-1,1.352370739E0,-1.052719831E0,-1.843771458E0
3.707508910E-1,1.171463966E0,-1.040012360E0,-1.830207348E0
3.732536640E-1,1.065564156E0,-1.086062193E0,-1.780257225E0
3.757566640E-1,1.001705408E0,-1.096963406E0,-1.784138203E0
3.782592040E-1,9.834430218E-1,-1.110461473E0,-1.867835522E0
3.807619370E-1,9.644453526E-1,-1.083839655E0,-1.872994423E0
3.832647070E-1,9.823999405E-1,-1.070936441E0,-1.943028927E0
3.857674760E-1,1.045100689E0,-1.054669619E0,-2.033721447E0
3.882702500E-1,1.050479412E0,-9.966213703E-1,-2.070502281E0
