"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.872890456E0,1.552500057E1,-6.618750095E0,-3.363750076E1
1.892883748E0,1.603125000E1,-6.318750381E0,-3.412500000E1
1.912886055E0,1.477500057E1,-6.525000095E0,-3.061875153E1
1.932883678E0,1.440000057E1,-6.337500095E0,-3.112500191E1
1.952889908E0,1.546875095E1,-5.137500286E0,-3.365625000E1
1.972890954E0,1.567500019E1,-4.668750286E0,-3.386250305E1
1.992887234E0,1.556250095E1,-1.556250095E0,-3.380625153E1
2.012891546E0,1.535625076E1,1.012500048E0,-3.474375153E1
2.032890506E0,1.351875019E1,2.906250000E0,-3.307500076E1
2.052887679E0,1.269375038E1,5.925000191E0,-3.230625153E1
2.072893089E0,1.335000038E1,9.993750572E0,-3.086250114E1
2.092891123E0,1.441875076E1,1.132500076E1,-2.917500114E1
2.112884865E0,1.500000095E1,1.252500057E1,-2.756250191E1
2.132888069E0,1.548750019E1,1.318125057E1,-2.718750191E1
2.152887160E0,1.481250095E1,1.410000038E1,-2.628750038E1
2.172881363E0,1.503750038E1,1.548750019E1,-2.559375191E1
2.192884239E0,1.436250019E1,1.638750076E1,-2.531250191E1
2.212882458E0,1.348125076E1,1.691250038E1,-2.491875076E1
2.232888552E0,1.201875019E1,1.771875000E1,-2.403750038E1
2.252889048E0,1.106250000E1,1.833750153E1,-2.435625076E1
2.272885295E0,8.025000572E0,1.745625114E1,-2.071875000E1
2.292889331E0,7.743750095E0,1.983750153E1,-2.276250076E1
2.312889305E0,6.056250095E0,1.989375114E1,-2.075625038E1
2.332886314E0,5.175000191E0,1.968750000E1,-2.086875153E1
2.352890906E0,5.175000191E0,2.006250000E1,-2.105625153E1
2.372890614E0,4.893750191E0,1.931250000E1,-2.225625038E1
2.392886298E0,2.512500048E0,1.906875038E1,-2.064375114E1
2.412888903E0,2.737500191E0,1.944375038E1,-2.126250076E1
