"event","experiment time","system time","system time text"
"START",0.000000000E0,1733577560.380,"2024-12-07 18:49:20.380 UTC+05:30"
"PAUSE",1.089625363E2,1733577669.343,"2024-12-07 18:51:09.343 UTC+05:30"
