"event","experiment time","system time","system time text"
"START",0.000000000E0,1733581288.091,"2024-12-07 19:51:28.091 UTC+05:30"
"PAUSE",1.105210025E2,1733581398.612,"2024-12-07 19:53:18.612 UTC+05:30"
